13 3
Faculdade de Direito (FD).
Faculdade de Arquitetura e Urbanismo (FAU).
Centro de Ciencia Biologica e da Saude (CCBS).
Centro de Ciencias Sociais e Aplicadas (CCSA).
Escola de Engenharia (EE).
Faculdade de Computacao e Informatica (FCI).
Escola Americana (EA).
MackGraph (MG).
Predio Joao Calvino.
Predio Rua da Consolacao.
Predio 1 (Predio Antigo).
Predio 2 (Bloco A), localizado ao lado do Predio Joao Calvino.
Predio 3 (Bloco B).
78
1 2 70
1 3 90
1 4 120
1 5 220
1 6 185
1 7 77
1 8 252
1 9 335
1 10 345
1 11 233
1 12 123
1 13 135
2 3 129
2 4 239
2 5 247
2 6 337
2 7 156
2 8 155
2 9 198
2 10 205
2 11 234
2 12 298
2 13 239
3 4 157
3 5 126
3 6 187
3 7 140
3 8 166
3 9 254
3 10 268
3 11 365
3 12 245
3 13 111
4 5 125
4 6 147
4 7 130
4 8 168
4 9 259
4 10 261
4 11 362
4 12 243
4 13 114
5 6 139
5 7 334
5 8 125
5 9 268
5 10 342
5 11 325
5 12 135
5 13 146
6 7 246
6 8 293
6 9 287
6 10 233
6 11 244
6 12 299
6 13 322
7 8 422
7 9 213
7 10 266
7 11 216
7 12 220
7 13 215
8 9 311
8 10 343
8 11 353
8 12 366
8 13 233
9 10 253
9 11 264
9 12 298
9 13 222
10 11 133
10 12 234
10 13 131
11 12 244
11 13 136
12 13 138
